hotel,is_canceled,lead_time,arrival_date_month,adults,children,country,agent,company,adr
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,107.0
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,107.0
Resort Hotel,0,57,July,3,0.0,PRT,305.0,,148.23
Resort Hotel,0,57,July,1,0.0,PRT,305.0,,0.0
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,107.0
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,107.0
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,107.0
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,107.0
Resort Hotel,0,57,July,2,0.0,PRT,305.0,,98.75
Resort Hotel,1,66,July,2,2.0,PRT,240.0,,195.0
Resort Hotel,0,13,July,2,0.0,DNK,240.0,,120.6
Resort Hotel,0,50,July,2,0.0,FIN,241.0,,123.2
Resort Hotel,1,48,July,1,0.0,PRT,146.0,,112.0
Resort Hotel,1,0,July,2,0.0,PRT,241.0,,123.2
Resort Hotel,0,7,July,2,2.0,USA,242.0,,169.0
Resort Hotel,0,0,July,2,2.0,PRT,,,198.0
Resort Hotel,1,66,July,2,0.0,PRT,240.0,,103.5
Resort Hotel,0,13,July,2,1.0,PRT,240.0,,135.6
Resort Hotel,0,66,July,2,0.0,DNK,240.0,,103.5
Resort Hotel,0,10,July,2,0.0,ESP,250.0,,184.0
Resort Hotel,1,10,July,2,0.0,PRT,250.0,,134.0
Resort Hotel,1,58,July,2,0.0,PRT,240.0,,147.0
Resort Hotel,1,17,July,2,0.0,PRT,240.0,,151.33
Resort Hotel,0,19,July,2,0.0,ESP,240.0,,121.33
Resort Hotel,0,10,July,2,0.0,IRL,250.0,,150.2
Resort Hotel,1,12,July,2,0.0,PRT,,178.0,139.0
Resort Hotel,0,10,July,1,0.0,IRL,250.0,,150.2
Resort Hotel,0,63,July,2,0.0,PRT,147.0,,75.44
Resort Hotel,1,35,July,2,0.0,PRT,240.0,,135.0
Resort Hotel,0,113,July,2,0.0,PRT,240.0,,166.0
Resort Hotel,1,35,July,2,0.0,PRT,240.0,,135.0
Resort Hotel,0,68,July,2,0.0,GBR,243.0,,130.0
Resort Hotel,0,113,July,2,0.0,PRT,67.0,,96.3
Resort Hotel,0,21,July,1,0.0,PRT,,,160.0
Resort Hotel,0,6,July,2,0.0,PRT,240.0,,0.0
Resort Hotel,0,7,July,2,0.0,PRT,,,127.25
Resort Hotel,0,17,July,2,0.0,PRT,240.0,,164.0
Resort Hotel,0,1,July,2,0.0,PRT,240.0,,144.5
Resort Hotel,0,2,July,2,0.0,PRT,196.0,,112.0
Resort Hotel,1,15,July,2,0.0,PRT,240.0,,134.0
Resort Hotel,1,7,July,2,0.0,PRT,,,127.25
Resort Hotel,0,11,July,2,0.0,ESP,240.0,,155.5
Resort Hotel,1,6,July,2,0.0,PRT,241.0,,110.5
Resort Hotel,0,1,July,2,0.0,PRT,,,144.5
Resort Hotel,0,1,July,2,0.0,ESP,250.0,,144.5
Resort Hotel,0,48,July,2,0.0,PRT,196.0,,123.0
Resort Hotel,0,15,July,2,0.0,PRT,240.0,,120.6
Resort Hotel,1,3,July,1,0.0,PRT,5.0,,107.6
Resort Hotel,1,23,July,2,0.0,PRT,240.0,,120.6
Resort Hotel,0,53,July,2,0.0,PRT,152.0,,107.0
Resort Hotel,0,53,July,2,1.0,PRT,152.0,,133.75
Resort Hotel,0,94,July,2,0.0,ESP,250.0,,103.5
Resort Hotel,0,64,July,1,0.0,PRT,175.0,,84.8
Resort Hotel,0,53,July,2,0.0,PRT,152.0,,107.0
Resort Hotel,0,53,July,1,0.0,PRT,152.0,,107.0
Resort Hotel,0,64,July,1,0.0,PRT,175.0,,84.8
Resort Hotel,0,53,July,2,0.0,PRT,152.0,,107.0
Resort Hotel,0,24,July,3,1.0,PRT,,,195.0
Resort Hotel,0,24,July,2,0.0,PRT,240.0,,164.0
Resort Hotel,0,23,July,2,2.0,ESP,250.0,,195.0
Resort Hotel,0,53,July,2,0.0,IRL,240.0,,125.0
Resort Hotel,1,23,July,2,2.0,PRT,250.0,,195.0
Resort Hotel,0,90,July,2,0.0,PRT,240.0,,132.3
Resort Hotel,0,79,July,2,0.0,PRT,240.0,,145.0
Resort Hotel,0,43,July,2,0.0,GBR,142.0,,92.0
Resort Hotel,0,90,July,2,0.0,PRT,240.0,,132.3
Resort Hotel,0,65,July,2,0.0,ESP,240.0,,147.0
Resort Hotel,0,65,July,2,0.0,ESP,240.0,,167.0
Resort Hotel,0,99,July,3,0.0,FRA,250.0,,210.0
Resort Hotel,0,25,July,2,0.0,ESP,,,194.9
Resort Hotel,0,92,July,2,0.0,MOZ,240.0,,103.5
Resort Hotel,0,91,July,2,1.0,BWA,240.0,,118.5
Resort Hotel,0,38,July,2,1.0,PRT,240.0,,192.0
Resort Hotel,0,6,July,2,0.0,GBR,142.0,,128.27
Resort Hotel,0,38,July,2,0.0,ESP,240.0,,135.0
